,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
323,HBI,1,12,11.512629972644095,-10.512629972644095,False,False,0.3976118323562753
336,ASC,1,36,11.60033725131841,-10.60033725131841,False,False,0.3976118323562753
324,TUV,1,53,11.662463240379381,-10.662463240379381,False,False,0.3976118323562753
337,CGS,1,53,11.662463240379381,-10.662463240379381,False,False,0.3976118323562753
327,NRU,1,57,11.677081120158434,-10.677081120158434,False,False,0.3976118323562753
338,MCI,1,70,11.724589229440355,-10.724589229440355,False,False,0.3976118323562753
326,TOK,1,70,11.724589229440355,-10.724589229440355,False,False,0.3976118323562753
334,CKI,1,76,11.746516049108934,-10.746516049108934,False,False,0.3976118323562753
339,STH,1,89,11.794024158390853,-10.794024158390853,False,False,0.3976118323562753
314,GIL,1,96,11.819605448004195,-10.819605448004195,False,False,0.3976118323562753
322,SEL,1,98,11.826914387893721,-10.826914387893721,False,False,0.3976118323562753
331,MRS,1,125,11.925585076402324,-10.925585076402324,False,False,0.3976118323562753
329,KER,1,129,11.940202956181377,-10.940202956181377,False,False,0.3976118323562753
245,MDV,6,153,12.02791023485569,-6.027910234855691,False,False,0.3976118323562753
294,KZN,3,181,12.130235393309057,-9.130235393309057,False,False,0.3976118323562753
218,LDV,8,183,12.137544333198584,-4.1375443331985835,False,False,0.3976118323562753
277,ALD,4,198,12.19236138237003,-8.19236138237003,False,False,0.3976118323562753
333,SVA,1,200,12.199670322259557,-11.199670322259557,False,False,0.3976118323562753
306,ROD,2,206,12.221597141928136,-10.221597141928136,False,False,0.3976118323562753
299,CPI,2,210,12.236215021707189,-10.236215021707189,False,False,0.3976118323562753
264,SCS,5,210,12.236215021707189,-7.2362150217071886,False,False,0.3976118323562753
276,XMS,4,215,12.254487371431003,-8.254487371431003,False,False,0.3976118323562753
332,NUE,1,216,12.258141841375766,-11.258141841375766,False,False,0.3976118323562753
235,SWC,7,264,12.433556398724395,-5.433556398724395,False,False,0.3976118323562753
302,MXI,2,277,12.481064508006316,-10.481064508006316,False,False,0.3976118323562753
227,ARU,7,287,12.517609207453946,-5.517609207453946,False,False,0.3976118323562753
304,COO,2,294,12.543190497067288,-10.543190497067288,False,False,0.3976118323562753
330,SCZ,1,300,12.565117316735867,-11.565117316735867,False,False,0.3976118323562753
296,WAL,2,303,12.576080726570156,-10.576080726570156,False,False,0.3976118323562753
270,OGA,5,348,12.740531874084494,-7.740531874084494,False,False,0.3976118323562753
325,NFK,1,359,12.780731043476889,-11.780731043476889,False,False,0.3976118323562753
229,KUW,7,360,12.784385513421652,-5.784385513421652,False,False,0.3976118323562753
335,MRQ,1,364,12.799003393200705,-11.799003393200705,False,False,0.3976118323562753
319,FOR,1,368,12.813621272979757,-11.813621272979757,False,False,0.3976118323562753
300,TUB,2,377,12.846511502482624,-10.846511502482624,False,False,0.3976118323562753
298,WSA,2,392,12.901328551654071,-10.901328551654071,False,False,0.3976118323562753
232,TCI,7,405,12.948836660935992,-5.948836660935992,False,False,0.3976118323562753
295,SEY,3,416,12.989035830328385,-9.989035830328385,False,False,0.3976118323562753
222,MRN,8,472,13.19368614723512,-5.19368614723512,False,False,0.3976118323562753
212,NLA,9,482,13.23023084668275,-4.230230846682749,False,False,0.3976118323562753
309,TON,2,519,13.365446234638984,-11.365446234638984,False,False,0.3976118323562753
321,GNL,1,528,13.398336464141853,-12.398336464141853,False,False,0.3976118323562753
214,CVI,9,537,13.43122669364472,-4.431226693644721,False,False,0.3976118323562753
251,CAY,6,556,13.500661622595219,-7.500661622595219,False,False,0.3976118323562753
204,AZO,12,558,13.507970562484745,-1.5079705624847453,False,False,0.3976118323562753
305,GAL,2,592,13.63222254060669,-11.63222254060669,False,False,0.3976118323562753
187,CPV,15,605,13.679730649888612,1.3202693501113885,False,False,0.3976118323562753
303,SCI,2,624,13.74916557883911,-11.74916557883911,False,False,0.3976118323562753
310,PEI,2,708,14.056141054199209,-12.056141054199209,False,False,0.3976118323562753
197,GST,14,727,14.125575983149709,-0.12557598314970875,False,False,0.3976118323562753
188,DJI,15,776,14.3046450104431,0.6953549895569004,False,False,0.3976118323562753
273,ICE,4,787,14.344844179835494,-10.344844179835494,False,False,0.3976118323562753
144,GAM,26,800,14.392352289117415,11.607647710882585,False,False,0.3976118323562753
233,SOC,7,801,14.396006759062178,-7.396006759062178,False,False,0.3976118323562753
205,MDR,12,814,14.443514868344097,-2.4435148683440975,False,False,0.3976118323562753
202,VNA,12,827,14.491022977626018,-2.4910229776260184,False,False,0.3976118323562753
288,SAM,3,860,14.6116204858032,-11.6116204858032,False,False,0.3976118323562753
203,CAB,12,936,14.889360201605196,-2.8893602016051965,False,False,0.3976118323562753
230,REU,7,992,15.09401051851193,-8.09401051851193,False,False,0.3976118323562753
200,MAU,12,1002,15.13055521795956,-3.130555217959561,False,False,0.3976118323562753
165,MTN,20,1009,15.156136507572901,4.843863492427099,False,False,0.3976118323562753
328,NFL,1,1011,15.163445447462427,-14.163445447462427,False,False,0.3976118323562753
217,CRL,8,1036,15.254807196081504,-7.254807196081504,False,False,0.3976118323562753
311,NWT,2,1054,15.320587655087241,-13.320587655087241,False,False,0.3976118323562753
148,NGR,25,1079,15.411949403706318,9.588050596293682,False,False,0.3976118323562753
208,BAH,10,1085,15.433876223374897,-5.433876223374897,False,False,0.3976118323562753
293,WDC,3,1095,15.470420922822527,-12.470420922822527,False,False,0.3976118323562753
195,COM,14,1105,15.506965622270158,-1.5069656222701582,False,False,0.3976118323562753
292,NSC,3,1122,15.569091611331132,-12.569091611331132,False,False,0.3976118323562753
320,YUK,1,1125,15.580055021165421,-14.580055021165421,False,False,0.3976118323562753
281,NDA,4,1138,15.627563130447342,-11.627563130447342,False,False,0.3976118323562753
237,KUR,6,1141,15.63852654028163,-9.63852654028163,False,False,0.3976118323562753
289,NBR,3,1150,15.671416769784498,-12.671416769784498,False,False,0.3976118323562753
286,KAM,3,1153,15.682380179618788,-12.682380179618788,False,False,0.3976118323562753
175,SIN,18,1243,16.011282474647466,1.9887175253525342,False,False,0.3976118323562753
224,SAK,7,1258,16.066099523818913,-9.066099523818913,False,False,0.3976118323562753
287,MAG,3,1262,16.080717403597966,-13.080717403597966,False,False,0.3976118323562753
146,NCB,25,1263,16.08437187354273,8.915628126457271,False,False,0.3976118323562753
312,SAS,2,1308,16.248823021057067,-14.248823021057067,False,False,0.3976118323562753
174,OMA,18,1314,16.270749840725646,1.729250159274354,False,False,0.3976118323562753
282,RHO,4,1349,16.398656288792353,-12.398656288792353,False,False,0.3976118323562753
216,VAN,8,1352,16.409619698626642,-8.409619698626642,False,False,0.3976118323562753
308,MAN,2,1375,16.493672507356195,-14.493672507356195,False,False,0.3976118323562753
315,CLS,1,1385,16.530217206803826,-15.530217206803826,False,False,0.3976118323562753
307,ASK,2,1412,16.62888789531243,-14.628887895312431,False,False,0.3976118323562753
120,GNB,31,1419,16.65446918492577,14.34553081507423,False,False,0.3976118323562753
193,IRE,15,1442,16.738521993655322,-1.738521993655322,False,False,0.3976118323562753
189,AMU,15,1445,16.74948540348961,-1.7494854034896115,False,False,0.3976118323562753
255,SDA,6,1453,16.778721163047717,-10.778721163047717,False,False,0.3976118323562753
131,BLR,28,1473,16.851810561942976,11.148189438057024,False,False,0.3976118323562753
248,NEB,6,1478,16.870082911666792,-10.870082911666792,False,False,0.3976118323562753
116,BAL,31,1493,16.92489996083824,14.075100039161761,False,False,0.3976118323562753
318,NZN,1,1497,16.93951784061729,-15.939517840617292,False,False,0.3976118323562753
171,EQG,20,1514,17.001643829678265,2.9983561703217347,False,False,0.3976118323562753
169,RUW,20,1530,17.060115348794476,2.9398846512055243,False,False,0.3976118323562753
207,CTA,11,1533,17.071078758628765,-6.071078758628765,False,False,0.3976118323562753
280,NWH,4,1562,17.177058387026893,-13.177058387026893,False,False,0.3976118323562753
